creation_date,status,order_id,shipper_name,ship_mode,cod_amount,insured_value,delivery_fee,item_description,origin_region,start_clock_date,district,city,province,day_to_arv
03/05/2023,Completed,1773610,(HXxxx),SECOND CLASS,927000.0,879000.0,32260.0,OPPO A15s RAM 6/128GB FULLSET BERGARANSI 1 TAHUN,Sumatera 3,2023-05-04 2:57:39,Bunga Raya,Kab. Siak,Riau,3.0
03/05/2023,Completed,1602239,(Laxxx),STANDARD,137900.0,130000.0,4000.0,[TERAMPUH]pERBBUUTTIIRR obat telat haid paling ampuh obat telat haid 1 bulan ampuh obat telat haid 12 3 bulan obat telat haid remaja obat telat datang bulan obat telat menstruasi pelancar haid pelancar mens,Greater Jakarta,2023-05-04 2:57:39,Pasar Kemis,Kab. Tangerang,Banten,5.0
03/05/2023,Completed,1921810,(Laxxx),STANDARD,71903.0,65000.0,4000.0,[TERAMPUH]pERBBUUTTIIRR obat telat haid paling ampuh obat telat haid 1 bulan ampuh obat telat haid 12 3 bulan obat telat haid remaja obat telat datang bulan obat telat menstruasi pelancar haid pelancar mens,Greater Jakarta,2023-05-04 3:19:44,Koja,Kota Jakarta Utara,DKI Jakarta,5.0
03/05/2023,Cancelled,1428014,(eVxxx),STANDARD,2643000.0,2632000.0,,PROMO SSD SN550 250GB / 500GB / 1TB M2 NVMe QLC 2280 M.2 Internal SSD Western Digital Garansi Resmi 5 Tahun,West Java,2023-05-03 21:25:02,Muara Gembong,Kab. Bekasi,Jawa Barat,5.0
03/05/2023,Cancelled,1734326,(eVxxx),STANDARD,3282500.0,3269000.0,,SSD V-GeN Hyper 2TB M.2 NVMe PCIe Gen 3.0 - SSD VGEN 2 TB M2 NVME,West Java,2023-05-03 21:25:02,Bandongan,Kab. Magelang,Jawa Tengah,5.0
03/05/2023,Cancelled,1127067,(eVxxx),STANDARD,2846000.0,2825000.0,,PROMO SSD SN550 250GB / 500GB / 1TB M2 NVMe QLC 2280 M.2 Internal SSD Western Digital Garansi Resmi 5 Tahun,West Java,2023-05-03 21:25:02,Muara Gembong,Kab. Bekasi,Jawa Barat,5.0
03/05/2023,Completed,1372126,(Laxxx),STANDARD,404000.0,390000.0,4000.0,[TERAMPUH]pERBBUUTTIIRR obat telat haid paling ampuh obat telat haid 1 bulan ampuh obat telat haid 12 3 bulan obat telat haid remaja obat telat datang bulan obat telat menstruasi pelancar haid pelancar mens,Greater Jakarta,2023-05-04 2:58:09,Babakan Madang,Kab. Bogor,Jawa Barat,5.0
03/05/2023,Completed,1037527,(Laxxx),STANDARD,147390.0,130000.0,42440.0,[TERAMPUH]pERBBUUTTIIRR obat telat haid paling ampuh obat telat haid 1 bulan ampuh obat telat haid 12 3 bulan obat telat haid remaja obat telat datang bulan obat telat menstruasi pelancar haid pelancar mens,Sumatera 6,2023-05-05 15:26:32,Tabir,Kab. Merangin,Jambi,5.0
04/05/2023,Cancelled,1196371,(Koxxx),STANDARD,1889390.0,1861000.0,,OPPO A16 4/64GB 6/128GB SECONDHAND LIKE NEW 99% MULUS GARANSI 1 TAHUN TERPERCAYA,Greater Jakarta,2023-05-04 4:24:58,Balikpapan Barat,Kota Balikpapan,Kalimantan Timur,5.0
04/05/2023,Completed,1067831,(Asxxx),SECOND CLASS,1986500.0,1949000.0,82120.0,"Samsung Chromebook 4 - Layar 11.6\"" HD LED - Garansi resmi",Sumatera 4,2023-05-04 18:32:44,Payakumbuh Barat,Kota Payakumbuh,Sumatera Barat,3.0
04/05/2023,Completed,1228608,(Laxxx),SECOND CLASS,1167000.0,1098000.0,72643.0,HP OPPO F11 SMARTPHONE RAM 6/128GB NEW FULLSET GARANSI 1 TAHUN,Greater Jakarta,2023-05-04 18:32:44,Singkep,Kab. Lingga,Kepulauan Riau,3.0
04/05/2023,Cancelled,1280485,(eVxxx),STANDARD,2163500.0,2150000.0,,PROMO SSD SN550 250GB / 500GB / 1TB M2 NVMe QLC 2280 M.2 Internal SSD Western Digital Garansi Resmi 5 Tahun,West Java,2023-05-04 20:56:11,Bandongan,Kab. Magelang,Jawa Tengah,5.0
04/05/2023,Completed,1497763,(Doxxx),STANDARD,232050.0,178000.0,22792.0,DIGITAL FuelPump Tester Alat Cek Ukur Tekanan Pompa Bensin Motor universal FPG,Central Java,2023-05-04 18:32:44,Kelapa,Kab. Bangka Barat,Bangka Belitung,5.0
04/05/2023,Completed,1353040,(Doxxx),STANDARD,202980.0,178000.0,20885.0,DIGITAL FuelPump Tester Alat Cek Ukur Tekanan Pompa Bensin Motor universal FPG,Central Java,2023-05-04 18:32:44,Batam Kota,Kota Batam,Kepulauan Riau,5.0
05/05/2023,Completed,1050439,(Doxxx),STANDARD,326400.0,320000.0,6370.0,Multitester digital fi alat cek kerusakan sensor injeksi alat riset motor injeksi tester digital multitester scanner scaner motor injeksi multitester digital zotek avometer digital multitester multimeter digital,Central Java,2023-05-05 17:10:57,Sumedang Utara,Kab. Sumedang,Jawa Barat,5.0
05/05/2023,Completed,1757274,(Laxxx),SECOND CLASS,980000.0,959000.0,75300.0,OPPO A16 RAM 6/128GB - FULLSET GARANSI 1 THN,Sumatera 2,2023-05-05 17:10:57,Warkuk Ranau Selatan,Kab. Ogan Komering Ulu Selatan,Sumatera Selatan,3.0
05/05/2023,Completed,1897137,(Laxxx),STANDARD,1121000.0,1049000.0,21960.0,HP VIVO Y17 SMARTPHONE RAM 6/128GB NEW FULLSET GARANSI 1 TAHUN,Sumatera 1,2023-05-08 8:51:38,Lolomatua,Kab. Nias Selatan,Sumatera Utara,5.0
05/05/2023,Completed,1126878,(Laxxx),STANDARD,1068000.0,996000.0,,"OPPO A16 RAM 6/128GB FULLSET , GARANSI 1 TAHUN",Sumatera 1,2023-05-08 9:34:15,Maniamolo,Kab. Nias Selatan,Sumatera Utara,5.0
05/05/2023,Completed,1439842,(Laxxx),FIRST CLASS,1041000.0,1019000.0,37182.0,HP OPPO A54S RAM 6/128GB GARANSI 1 TAHUN,Greater Jakarta,2023-05-05 17:10:57,Panakkukang,Kota Makassar,Sulawesi Selatan,1.0
05/05/2023,Completed,1267804,(Doxxx),STANDARD,3831000.0,3880000.0,6370.0,ALAT PRES MULTIFUNGSI 30TON Bisa untuk pres VELG segitiga as shock depan stang seher cakram buka pasang Kruk as dll,Central Java,2023-05-05 17:10:57,Ngemplak,Kab. Boyolali,Jawa Tengah,5.0
05/05/2023,Completed,1706645,(Laxxx),SECOND CLASS,999000.0,977000.0,42650.0,OPPO A54S RAM 6/128GB FULLSET GARANSI 1 TH TERSEGEL,Sumatera 2,2023-05-05 17:10:57,Mekakau Ilir,Kab. Ogan Komering Ulu Selatan,Sumatera Selatan,3.0
06/05/2023,Completed,1770460,(Laxxx),STANDARD,1157500.0,1098000.0,13710.0,HP OPPO A54 RAM 6/128GB GARANSI 1 TAHUN FULLSET,Sulawesi,2023-05-14 8:52:40,Malili,Kab. Luwu Timur,Sulawesi Selatan,5.0
06/05/2023,Completed,1555969,(Laxxx),STANDARD,951000.0,868000.0,27420.0,OPPO A31 - 6GB/128GB FULLSET AI Triple Camera Garansi 1TAHUN COD,Sulawesi,2023-05-14 8:31:41,Malili,Kab. Luwu Timur,Sulawesi Selatan,5.0
06/05/2023,Completed,1913832,(FFxxx),FIRST CLASS,982498.0,974498.0,49518.0,"OPPO A37 2/16 VS OPPO F1S RAM 4/64 GB VS OPPO A83 RAM 4/64 GB GARANSI 1 TAHUN [ MURAH MERIAH, GRESS, DAN SEGEL BARU ]",West Java,2023-05-14 8:52:40,Simpang Empat,Kab. Tanah Bumbu,Kalimantan Selatan,1.0
06/05/2023,Completed,1107387,(Inxxx),SECOND CLASS,1184400.0,1156400.0,16370.0,new oppo a16 ram 6/128 gb baru layar lebar 6.52 inci Fullset hp murah jaringan sidik jari hp 4g LTE Baterai 5000 mah,Greater Jakarta,2023-05-07 0:07:26,Tempursari,Kab. Lumajang,Jawa Timur,3.0
06/05/2023,Completed,1155411,(Laxxx),SECOND CLASS,3290500.0,2845000.0,45644.0,oppo f1s / OPPO F1S RAM 4/64GB [BISA COD] GARANSI 1 TH FULLSET,Sulawesi,2023-05-07 17:27:09,Polombangkeng Selatan (Polobangkeng),Kab. Takalar,Sulawesi Selatan,3.0
06/05/2023,Completed,1029305,(Soxxx),STANDARD,174420.0,99000.0,52449.0,handguard hengat acerbis Ultimate universal semua motor pelindung tangan klx crf wr155 x ride beat steet vixion cb150r byson mega pro xabre,Greater Jakarta,2023-05-07 1:54:14,Bahodopi,Kab. Morowali,Sulawesi Tengah,5.0
06/05/2023,Completed,1950241,(GLxxx),STANDARD,1491000.0,1275000.0,176540.0,Mic wireless shure ur 18 d + 4 Antena original urd18d Free Koper Shure Ur 18D ( Bisa COD ),Greater Jakarta,2023-05-07 0:07:26,Karossa,Kab. Mamuju Tengah,Sulawesi Barat,5.0
06/05/2023,Completed,1039372,(GLxxx),STANDARD,516000.0,485000.0,130600.0,Speaker Portable Wireless Dat DT 820 QD Original 8 inch Bluetooth Free 2 Mic Wireless Dat820 ( Bisa COD ),Sumatera 2,2023-05-07 17:27:09,Rawas Ilir,Kab. Musi Rawas Utara,Sumatera Selatan,5.0
06/05/2023,Completed,1193260,(Laxxx),FIRST CLASS,1011500.0,979000.0,16660.0,HP OPPO A54S RAM 6/128GB GARANSI 1 TAHUN,Sumatera 1,2023-05-07 0:07:26,Siantar Utara,Kota Pematang Siantar,Sumatera Utara,1.0
06/05/2023,Completed,1150412,(Grxxx),FIRST CLASS,1380000.0,1195000.0,174292.0,BAYAR DI RUMAH! POMPA PCP GX NON FILTER CAMO / POMPA PCP GX MURAH / HILLPUMP PCP / POMPAAN PCP TERLARIS,West Java,2023-05-07 17:27:09,Kalaena,Kab. Luwu Timur,Sulawesi Selatan,1.0
06/05/2023,Completed,1202160,(Laxxx),SECOND CLASS,1147000.0,1099000.0,27510.0,HP OPPO A54 RAM 6/128GB GARANSI 1 TAHUN FULLSET,Sumatera 3,2023-05-07 1:54:14,Dumai,Kota Dumai,Riau,3.0
07/05/2023,Cancelled,1925940,(Laxxx),STANDARD,2694000.0,2727000.0,,HP OPPO A15S SMARTPHONE RAM 6/128GB NEW FULLSET GARANSI 1 TAHUN,Greater Jakarta,2023-05-07 3:53:14,Balikpapan Utara,Kota Balikpapan,Kalimantan Timur,5.0
07/05/2023,Cancelled,1455973,(Laxxx),STANDARD,1040000.0,1018000.0,,HP OPPO A54S RAM 6/128GB GARANSI 1 TAHUN,Greater Jakarta,2023-05-07 3:53:13,Panakkukang,Kota Makassar,Sulawesi Selatan,5.0
08/05/2023,Completed,1625704,(GLxxx),FIRST CLASS,1138000.0,839000.0,330272.0,"Tweeter Driver Black Spider BS D44T ,",Greater Jakarta,2023-05-08 17:54:02,Tikke Raya,Kab. Pasang Kayu,Sulawesi Barat,1.0
08/05/2023,Completed,1970980,(Laxxx),FIRST CLASS,993000.0,977000.0,35126.0,OPPO A54S RAM 6/128GB FULLSET GARANSI 1 TH TERSEGEL,Greater Jakarta,2023-05-08 23:56:22,Banjar Baru Utara,Kota Banjarbaru,Kalimantan Selatan,1.0
08/05/2023,Completed,1499461,(HXxxx),SECOND CLASS,886500.0,859000.0,34040.0,OPPO A31 6/128GB FULLSET GARANSI TERPERCAYA 1TAHUN,Sumatera 4,2023-05-08 22:54:44,Siberut Selatan,Kab. Kepulauan Mentawai,Sumatera Barat,3.0
08/05/2023,Completed,1910732,(HXxxx),SECOND CLASS,887000.0,869000.0,32260.0,OPPO A31 6/128GB FULLSET GARANSI TERPERCAYA 1TAHUN,Sumatera 3,2023-05-14 6:37:33,Kubu,Kab. Rokan Hilir,Riau,3.0
08/05/2023,Completed,1189760,(Laxxx),SECOND CLASS,1005000.0,878000.0,123120.0,OPPO A15S RAM 6/128 GB FULLSET Garansi 1 Tahun Android COD,Greater Jakarta,2023-05-08 23:56:22,Rarowatu Utara,Kab. Bombana,Sulawesi Tenggara,3.0
08/05/2023,Completed,1611310,(Hoxxx),SECOND CLASS,2011000.0,1898000.0,105808.0,"Tecno Pova Neo 2 - Bisa Cicilan Tanpa Kartu Kredit (Bisa COD, Garansi Resmi, Original, Tecno Flagship Store )",Greater Jakarta,2023-05-09 20:48:19,Teluk Kimi,Kab. Nabire,Papua,3.0
08/05/2023,Transit,1028268,(ALxxx),SECOND CLASS,208500.0,165000.0,10000.0,BATOK KEPALA DEPAN BELAKANG HONDA SUPRA X 125 BATMAN HITAM SET REPLEKTOR LAMPU,Kalimantan,2023-05-14 10:56:42,Nanga Pinoh,Kab. Melawi,Kalimantan Barat,3.0
08/05/2023,Completed,1986027,(Laxxx),SECOND CLASS,161160.0,86000.0,62449.0,KOREK API PISTOL 1 BANDING 1 LIGHTER BARETTA BISA DI KOKANG FREE SARUNG,Greater Jakarta,2023-05-09 3:02:13,Wita Ponda,Kab. Morowali,Sulawesi Tengah,3.0
08/05/2023,Completed,1334243,(Laxxx),SECOND CLASS,2208000.0,2158000.0,94880.0,HP OPPO A54 RAM 6/128GB GARANSI 1 TAHUN FULLSET,Sumatera 6,2023-05-11 10:03:27,Sungai Penuh,Kota Sungaipenuh,Jambi,3.0
08/05/2023,Completed,1471199,(Laxxx),SECOND CLASS,874000.0,879000.0,94880.0,OPPO A15S RAM 6/128 GB FULLSET Garansi 1 Tahun Android COD,Sumatera 6,2023-05-09 4:25:43,Lembah Masurai,Kab. Merangin,Jambi,3.0
08/05/2023,Completed,1810282,(Coxxx),SECOND CLASS,3650638.0,3645638.0,247538.0,Mikrotik Embedded LTE Client LHG LTE Kit RBLHG-LTE-Kit,Sumatera 1,2023-05-10 19:34:49,Belitang Hulu,Kab. Sekadau,Kalimantan Barat,3.0
08/05/2023,Completed,1940782,(pexxx),SECOND CLASS,751500.0,695000.0,44627.0,Oppo A31 Ram 6/128GB Al Triple Camera Bergaransi 1 Tahun,Kalimantan,2023-05-08 17:54:02,Simpang Hulu,Kab. Ketapang,Kalimantan Barat,3.0
08/05/2023,Completed,1920973,(Laxxx),FIRST CLASS,1066500.0,1049000.0,30900.0,HP VIVO Y17 SMARTPHONE RAM 6/128GB NEW FULLSET GARANSI 1 TAHUN,Greater Jakarta,2023-05-08 23:56:21,Ilir Talo,Kab. Seluma,Bengkulu,1.0
08/05/2023,Completed,1129067,(HXxxx),SECOND CLASS,611500.0,569000.0,35520.0,OPPO F1S 4/64GB FULLSET BERGARANSI 1 TAHUN / BISA COD !!!,Sumatera 5,2023-05-08 23:56:21,Way Jepara,Kab. Lampung Timur,Lampung,3.0
08/05/2023,Completed,1951958,(Laxxx),SECOND CLASS,1161000.0,1079000.0,62449.0,HP OPPO A54 RAM 6/128GB GARANSI 1 TAHUN FULLSET,Greater Jakarta,2023-05-11 19:50:45,Bahodopi,Kab. Morowali,Sulawesi Tengah,3.0
08/05/2023,Completed,1747332,(HXxxx),STANDARD,1579500.0,1499000.0,67879.0,VIVO Y33S RAM 8/128GB FULLSET // BISA COD,Greater Jakarta,2023-05-08 23:56:21,Long Bagun,Kab. Mahakam Ulu,Kalimantan Timur,5.0
08/05/2023,Completed,1927314,(GLxxx),STANDARD,568000.0,390000.0,256065.0,Piano Keyboard Techno T5000 Mainan Anak Musik Piano Techno T-5000 ( Bisa Cod ),Greater Jakarta,2023-05-09 20:48:19,Togo Binongko,Kab. Wakatobi,Sulawesi Tenggara,5.0
08/05/2023,Completed,1124784,(GLxxx),STANDARD,1377500.0,1090000.0,82260.0,Power kit Speaker Aktif model HUPER Kit Power Amplifier Aktif Huper Ungu 16 x 40 ( Bisa COD ),Sulawesi,2023-05-14 10:56:42,Ujung,Kota Parepare,Sulawesi Selatan,5.0
08/05/2023,Completed,1462432,(Soxxx),STANDARD,270617.0,200000.0,52449.0,kaliper brmbo 2p 2 piston big logo + breket kaliper piringan disc standar + selang rem depan mio /beat /vario 110 125 150 /genio /scoopy /fino /xeon /mio sporty soul gt dll,Greater Jakarta,2023-05-09 3:02:13,Bahodopi,Kab. Morowali,Sulawesi Tengah,5.0
08/05/2023,Completed,1473849,(Soxxx),STANDARD,118320.0,95000.0,14840.0,Handguard Model Acerbis Ultimate Universal Handguard Klx Crf Wr Dtracker Beat Street Vixion Tiger Xride Dll Hangat Acerbis Klx Hangat Acerbis Crf Hangat Acerbis Wr Hangat Acerbis Dtracker Hangat Acerbis Dt Handgat Acerbis Ultimate,Sumatera 1,2023-05-11 10:03:27,Pulau Rakyat,Kab. Asahan,Sumatera Utara,5.0
08/05/2023,Completed,1058067,(Soxxx),STANDARD,308040.0,240000.0,29680.0,tali tie down expedition tali tie down TIE DOWN MOTOR TRAIL STRAPS Pengikat Motor Trail EXPEDITION,Sumatera 1,2023-05-11 19:50:45,Sinunukan,Kab. Mandailing Natal,Sumatera Utara,5.0
08/05/2023,Completed,1550237,(Hoxxx),STANDARD,3636500.0,3799000.0,16144.0,"Oppo A96 [8GB/256GB] - Bisa Cicilan Tanpa Kartu Kredit + Free 6 Acc ( Garansi Resmi , Oppo Terbaru 2023, Oppo Cuci Gudang, Cicilan tanpa DP 0% )",Greater Jakarta,2023-05-09 4:25:43,Simpang Teritip,Kab. Bangka Barat,Bangka Belitung,5.0
08/05/2023,Completed,1094068,(FFxxx),STANDARD,574901.0,578901.0,24040.0,"OPPO A37 2/16 VS OPPO F1S RAM 4/64 GB VS OPPO A83 RAM 4/64 GB GARANSI 1 TAHUN [ MURAH MERIAH, GRESS, DAN SEGEL BARU ]",Sumatera 4,2023-05-10 19:34:49,Koto Xi Tarusan,Kab. Pesisir Selatan,Sumatera Barat,5.0
08/05/2023,Completed,1472582,(FFxxx),STANDARD,982498.0,974498.0,37018.0,"OPPO A37 2/16 VS OPPO F1S RAM 4/64 GB VS OPPO A83 RAM 4/64 GB GARANSI 1 TAHUN [ MURAH MERIAH, GRESS, DAN SEGEL BARU ]",West Java,2023-05-08 17:54:02,Simpang Empat,Kab. Tanah Bumbu,Kalimantan Selatan,5.0
08/05/2023,Completed,1743277,(Laxxx),STANDARD,3265500.0,2840000.0,35644.0,oppo f1s / OPPO F1S RAM 4/64GB [BISA COD] GARANSI 1 TH FULLSET,Sulawesi,2023-05-14 6:37:33,Polombangkeng Selatan (Polobangkeng),Kab. Takalar,Sulawesi Selatan,5.0
08/05/2023,Completed,1133473,(Bexxx),STANDARD,1564500.0,1490000.0,66158.0,lensa zoom Nikon 18-70mm vr second termurah,East Java,2023-05-08 16:16:19,Betoambari,Kota Bau-Bau,Sulawesi Tenggara,5.0
08/05/2023,Completed,1264256,(HXxxx),STANDARD,1514500.0,1499000.0,67879.0,VIVO Y33S RAM 8/128GB FULLSET // BISA COD,Greater Jakarta,2023-05-08 23:56:22,Long Hubung,Kab. Mahakam Ulu,Kalimantan Timur,5.0
08/05/2023,Completed,1217277,(Laxxx),STANDARD,989000.0,979000.0,30515.0,HP OPPO A16 SMARTPHONE RAM 4/64GB 6/128GB NEW FULLSET GARANSI 1 TAHUN,Greater Jakarta,2023-05-08 22:54:44,Kendawangan,Kab. Ketapang,Kalimantan Barat,5.0
09/05/2023,Completed,1137506,(GLxxx),STANDARD,739000.0,690000.0,91545.0,Crossover Ashley XR 204 Original 4Way Stereo xr204 Ashley Garansi Resmi ( Bisa Cod ),Greater Jakarta,2023-05-10 1:32:46,Sungai Melayu Rayak,Kab. Ketapang,Kalimantan Barat,5.0
09/05/2023,Completed,1514102,(Laxxx),SECOND CLASS,999000.0,977000.0,42650.0,OPPO A54S RAM 6/128GB FULLSET GARANSI 1 TH TERSEGEL,Sumatera 2,2023-05-10 1:32:46,Ulu Musi,Kab. Empat Lawang,Sumatera Selatan,3.0
09/05/2023,Completed,1431275,(Laxxx),SECOND CLASS,1049500.0,979000.0,62449.0,HP OPPO A54S RAM 6/128GB GARANSI 1 TAHUN,Greater Jakarta,2023-05-12 8:43:29,Moilong,Kab. Banggai,Sulawesi Tengah,3.0
09/05/2023,Completed,1389507,(Laxxx),SECOND CLASS,898000.0,857000.0,24840.0,OPPO A31 RAM 6/128GB GARANSI 1 TAHUN COD!!!,Sumatera 1,2023-05-18 4:25:08,Barumun,Kab. Padang Lawas,Sumatera Utara,3.0
09/05/2023,Completed,1491663,(Laxxx),SECOND CLASS,932150.0,881650.0,32260.0,【COD】new OPPO a15s ram 6/128gb baru layar lebar 6.52 inci Fullset hp murah jaringan sidik jari hp 4g LTE,Sumatera 3,2023-05-12 11:08:03,Tebing Tinggi,Kab. Kepulauan Meranti,Riau,3.0
09/05/2023,Completed,1039084,(Laxxx),SECOND CLASS,929500.0,869000.0,45644.0,OPPO A31 - 6GB/128GB FULLSET AI Triple Camera Garansi 1TAHUN COD,Sulawesi,2023-05-09 22:45:38,Kesu,Kab. Toraja Utara,Sulawesi Selatan,3.0
